sku,name,brand,model_no,price,currency,rating,review_count,url,image,Bare Unit Product Type,Battery Chemistry,Battery Power,Battery Technology,Bolt Capacity,Brand,Brushless,Capacity Masonry,Capacity Steel,Capacity Wood,Carry Case/Bag Included,Charge Time,Chuck Capacity,Chuck Type,Condition,Condition Description,Demolition Hammer Impact Energy,Drill Handle Type,Green star,Green star Claim,Impact Rate,Label Info 4: Supplementary Label Info,Label Info 5: Hazardous Chemical Content,Low Battery Indicator,Manual or Powered,Manufacturer Guarantee,Max Torque,Model No,No Load Speed,No. of Batteries Per Pack,No. of SDS Drill Functions,Overload Protection,Pack Size,Pieces in Pack/Case,Power Supply,Power Voltage Supply,Product Length,Product Type,Range Name,Repair Service Action,SDS Drill Product Type,Switch Type,Tool Weight with Battery,Tool Weight without Battery,Vibration Level,Vibration System,Z1 - UK Manufacturer Name,Z2 - UK Manufacturer Postal Address,Z3 - UK Manufacturer Electronic Address,Z4 - EU Manufacturer Name,Z5 - EU Manufacturer Postal Address,Z6 - EU Manufacturer Electronic Address,z1 - UK Manufacturer Name,z2 - UK Manufacturer Postal Address,z3 - UK Manufacturer Electronic Address,z4 - EU Manufacturer Name,z5 - EU Manufacturer Postal Address,z6 - EU Manufacturer Electronic Address
145KJ,Makita DTW300Z 18V Li-Ion LXT Brushless Cordless Impact Wrench - Bare,Makita,DTW300Z,159.99,GBP,4.7,65,/p/makita-dtw300z-18v-li-ion-lxt-brushless-cordless-impact-wrench-bare/145kj,https://media.screwfix.com/is/image/ae235/145KJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,M10-M20,Makita,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Rubber Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-4000 bpm,,,,,1 Year Guarantee,330 Nm,DTW300Z,0 - 3200 rpm,None,,,1,1,Cordless,18 V,144 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.2 kg,,,,,,,,,,,,,,
798XK,DEWALT DCF900N-XJ 18V Li-Ion XR Brushless Cordless 1/2&quot; Hog Ring High Torque Impact Wrench - Bare,DEWALT,DCF900N-XJ,199.99,GBP,4.9,18,/p/dewalt-dcf900n-xj-18v-li-ion-xr-brushless-cordless-1-2-hog-ring-high-torque-impact-wrench-bare/798xk,https://media.screwfix.com/is/image/ae235/798XK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,M30,DEWALT,Brushless,,,,No,,"1/2""",Square Drive Hog Ring,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,1800 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",950 Nm,DCF900N-XJ,2300 rpm,None,,,1,1,Cordless,18 V,232 mm,"1/2"" Hog Ring High Torque Impact Wrench",,Should the product require repair please visit a store who will arrange the repair.,,,,2.8 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
445GE,Milwaukee M18 ONEFHIWF12-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless ONE-KEY Impact Wrench,Milwaukee,M18 ONEFHIWF12-502X FUEL,389.99,GBP,5.0,16,/p/milwaukee-m18-onefhiwf12-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-one-key-impact-wrench/445ge,https://media.screwfix.com/is/image/ae235/445GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,"1/2 """,Milwaukee,Brushless,,,,Yes,59 min,"1/2""",Hex / Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2100 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",1356 Nm,M18 ONEFHIWF12-502X FUEL,0-1750 rpm,2,,,1,4,Cordless,18 V,213 mm,ONE-KEY Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,3.3 kg,,,,,,,,,,,,,,,
837XK,DEWALT DCF921N-XJ 18V Li-Ion XR Brushless Cordless M20 Hog Ring Compact Impact Wrench - Bare,DEWALT,DCF921N-XJ,144.99,GBP,4.9,19,/p/dewalt-dcf921n-xj-18v-li-ion-xr-brushless-cordless-m20-hog-ring-compact-impact-wrench-bare/837xk,https://media.screwfix.com/is/image/ae235/837XK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,M20,DEWALT,Brushless,,,,No,,"1/2""",Square Drive Hog Ring,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3600 bpm,,,,,1 Year Guarantee,406 Nm,DCF921N-XJ,2500 rpm,None,,,1,1,Cordless,18 V,125 mm,M20 Hog Ring Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.1 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
949CX,Milwaukee M18FIW2F12-0 FUEL 18V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M18FIW2F12-0 FUEL,119.99,GBP,5.0,4,/p/milwaukee-m18fiw2f12-0-fuel-18v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/949cx,https://media.screwfix.com/is/image/ae235/949CX_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,"1/2 """,Milwaukee,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3500 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",339 Nm,M18FIW2F12-0 FUEL,2400 rpm,None,,,1,1,Cordless,18 V,246 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.42 kg,,,,,,,,,,,,,,
564XK,DEWALT DCF891N-XJ 18V Li-Ion XR Brushless Cordless M24 Hog Ring Ultra-Compact Impact Wrench - Bare,DEWALT,DCF891N-XJ,189.99,GBP,4.8,11,/p/dewalt-dcf891n-xj-18v-li-ion-xr-brushless-cordless-m24-hog-ring-ultra-compact-impact-wrench-bare/564xk,https://media.screwfix.com/is/image/ae235/564XK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,XR,M24,DEWALT,Brushless,,,,No,,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3250 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",812 Nm,DCF891N-XJ,2000 rpm,None,,,1,1,Cordless,18 V,175 mm,M24 Hog Ring Ultra-Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.67 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
263EN,Milwaukee M18FHIW2F12-0 FUEL 18V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M18FHIW2F12-0 FUEL,229.99,GBP,5.0,3,/p/milwaukee-m18fhiw2f12-0-fuel-18v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/263en,https://media.screwfix.com/is/image/ae235/263EN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M36,Milwaukee,Brushless,,,,Yes,,"1/2""",Hex / Square Drive,,,,Rubber Overmould Grip,,,2400 bpm,,,,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",2034 Nm,M18FHIW2F12-0 FUEL,2000 rpm,None,,,1,1,Cordless,18 V,193 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2.7 kg,,,,,,,,,,,,,,
246GE,Milwaukee M18 ONEFHIWF34-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless ONE-KEY Impact Wrench,Milwaukee,M18 ONEFHIWF34-502X FUEL,379.97,GBP,5.0,6,/p/milwaukee-m18-onefhiwf34-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-one-key-impact-wrench/246ge,https://media.screwfix.com/is/image/ae235/246GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,"3/4 """,Milwaukee,Brushless,,,,Yes,59 min,"3/4""",Hex / Square Drive,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,"0-24,000 bpm",,,Low Battery Indicator,,1 Year Guarantee,1627 Nm,M18 ONEFHIWF34-502X FUEL,0-1800 rpm,2,,,1,1,Cordless,18 V,218 mm,ONE-KEY Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,3.5 kg,,,,,,,,,,,,,,,
109GE,Milwaukee M18 FIW2F38-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M18 FIW2F38-502X FUEL,249.99,GBP,5.0,5,/p/milwaukee-m18-fiw2f38-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-impact-wrench/109ge,https://media.screwfix.com/is/image/ae235/109GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,M18,Milwaukee,Brushless,,,,Yes,59 min,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3500 bpm,,,Low Battery Indicator,,1 Year Guarantee,339 Nm,M18 FIW2F38-502X FUEL,0-2400 rpm,2,,,1,1,Cordless,18 V,124 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.8 kg,,,,,,,,,,,,,,,
843XJ,Makita DTW1002Z 18V Li-Ion LXT Brushless Cordless Impact Wrench  - Bare,Makita,DTW1002Z,268.99,GBP,4.9,10,/p/makita-dtw1002z-18v-li-ion-lxt-brushless-cordless-impact-wrench-bare/843xj,https://media.screwfix.com/is/image/ae235/843XJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"1/2-1 """,Makita,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-2200 / 2000 / 1800 bpm,,,,,1 Year Guarantee,1000 Nm,DTW1002Z,0-1800/1000/900 rpm,None,,,1,1,Cordless,18 V,229 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,3.3 kg,,,,,,,,,,,,,,
870YM,Erbauer ERI1097IPD 18V Li-Ion EXT Brushless Cordless Impact Wrench - Bare,Erbauer,ERI1097IPD,79.99,GBP,4.9,14,/p/erbauer-eri1097ipd-18v-li-ion-ext-brushless-cordless-impact-wrench-bare/870ym,https://media.screwfix.com/is/image/ae235/870YM_P?$autoprodblock$,Impact Wrenches,Li-Ion,,EXT,M24,Erbauer,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-730/2100/2500/3200 bpm,,,,,1 Year Guarantee,800 Nm,ERI1097IPD,0-700/1500/1900/2600 rpm,None,,,1,1,Cordless,18 V,181 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2050 g,,,,,,,,,,,,,,
995KR,Milwaukee M18 FMTIW2F12-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M18 FMTIW2F12-502X FUEL,389.99,GBP,5.0,7,/p/milwaukee-m18-fmtiw2f12-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-impact-wrench/995kr,https://media.screwfix.com/is/image/ae235/995KR_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,M20,Milwaukee,Brushless,,,,Yes,59 min,"1/2""",Square Drive Hog Ring,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3000 bpm,,,Without Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",880 Nm,M18 FMTIW2F12-502X FUEL,0-2400 rpm,2,,,1,1,Cordless,18 V,152 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,6.30 kg,,,,,,,,,,,,,,,
407GE,Milwaukee M12 FRAIWF12-622X FUEL 12V 2 x 2.0 / 6.0Ah Li-Ion RedLithium Brushless Cordless Right Angle Impact Wrench,Milwaukee,M12 FRAIWF12-622X FUEL,229.99,GBP,5.0,6,/p/milwaukee-m12-fraiwf12-622x-fuel-12v-2-x-2-0-6-0ah-li-ion-redlithium-brushless-cordless-right-angle-impact-wrench/407ge,https://media.screwfix.com/is/image/ae235/407GE_P?$autoprodblock$,,Li-Ion,2.0 / 6.0 Ah,RedLithium,M16,Milwaukee,Brushless,,,,Yes,120 min,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3600 bpm,,,Low Battery Indicator,,1 Year Guarantee,270 Nm,M12 FRAIWF12-622X FUEL,0-3000 rpm,2,,,1,1,Cordless,12 V,338 mm,Right Angle Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.7 kg,,,,,,,,,,,,,,,
711GE,Milwaukee M18 FIW2F38-0X FUEL 18V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M18 FIW2F38-0X FUEL,129.99,GBP,5.0,9,/p/milwaukee-m18-fiw2f38-0x-fuel-18v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/711ge,https://media.screwfix.com/is/image/ae235/711GE_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M18,Milwaukee,Brushless,,,,No,,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3500 bpm,,,,,1 Year Guarantee,339 Nm,M18 FIW2F38-0X FUEL,0-2400 rpm,None,,,1,1,Cordless,18 V,124 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.8 kg,,,,,,,,,,,,,,
934EH,DEWALT McLaren F1 Team DCF99MP2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Impact Wrench,DEWALT,McLaren F1 Team DCF99MP2T-GB,312.99,GBP,5.0,2,/p/dewalt-mclaren-f1-team-dcf99mp2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-impact-wrench/934eh,https://media.screwfix.com/is/image/ae235/934EH_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M24,DEWALT,Brushless,,,,Yes,70 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,,,0–2200 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",1396 Nm,McLaren F1 Team DCF99MP2T-GB,0–2300 rpm,2,,,1,1,Cordless,18 V,223 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,2.9 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
907GE,Milwaukee M12 FRAIWF12-0 FUEL 12V Li-Ion RedLithium Brushless Cordless Right Angle Impact Wrench - Bare,Milwaukee,M12 FRAIWF12-0 FUEL,124.97,GBP,4.8,9,/p/milwaukee-m12-fraiwf12-0-fuel-12v-li-ion-redlithium-brushless-cordless-right-angle-impact-wrench-bare/907ge,https://media.screwfix.com/is/image/ae235/907GE_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M16,Milwaukee,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3600 bpm,,,,,1 Year Guarantee,270 Nm,M12 FRAIWF12-0 FUEL,0-3000 rpm,None,,,1,1,Cordless,12 V,338 mm,Right Angle Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.3 kg,,,,,,,,,,,,,,
496XK,DEWALT DCF921P2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Compact Impact Wrench,DEWALT,DCF921P2T-GB,289.99,GBP,5.0,5,/p/dewalt-dcf921p2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-compact-impact-wrench/496xk,https://media.screwfix.com/is/image/ae235/496XK_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M20,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3600 bpm,,,Low Battery Indicator,,1 Year Guarantee,406 Nm,DCF921P2T-GB,2500 rpm,2,,,1,1,Cordless,18 V,125 mm,Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.7 kg,,,,,,,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com"
926YM,Erbauer ERI1095IPD 18V Li-Ion EXT Brushless Cordless Impact Wrench - Bare,Erbauer,ERI1095IPD,59.99,GBP,4.4,10,/p/erbauer-eri1095ipd-18v-li-ion-ext-brushless-cordless-impact-wrench-bare/926ym,https://media.screwfix.com/is/image/ae235/926YM_P?$autoprodblock$,Impact Wrenches,Li-Ion,,EXT,M20,Erbauer,Brushless,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-1000/1700/2900/3700 bpm,,,,,1 Year Guarantee,380 Nm,ERI1095IPD,0-700/1100/1900/2600 rpm,None,,,1,1,Cordless,18 V,130 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1120 g,,,,,,,,,,,,,,
758GE,Milwaukee M18 BIW12-0 18V Li-Ion RedLithium Brushless Cordless Impact Wrench - Bare,Milwaukee,M18 BIW12-0,94.99,GBP,4.7,6,/p/milwaukee-m18-biw12-0-18v-li-ion-redlithium-brushless-cordless-impact-wrench-bare/758ge,https://media.screwfix.com/is/image/ae235/758GE_P?$autoprodblock$,Impact Wrenches,Li-Ion,,RedLithium,M16,Milwaukee,Brushless,,,,No,,"1/2""",Square Drive,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3350 bpm,,,,,1 Year Guarantee,240 Nm,M18 BIW12-0,0-2450 rpm,None,,,1,1,Cordless,18 V,155 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.4 kg,,,,,,,,,,,,,,
693XJ,Makita DTW190Z 18V Li-Ion LXT  Cordless Impact Wrench  - Bare,Makita,DTW190Z,94.99,GBP,5.0,3,/p/makita-dtw190z-18v-li-ion-lxt-cordless-impact-wrench-bare/693xj,https://media.screwfix.com/is/image/ae235/693XJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"5/8 """,Makita,Brushed,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3000 bpm,,,,,1 Year Guarantee,190 Nm,DTW190Z,"0 - 2,300 rpm",None,,,1,1,Cordless,18 V,176 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.4 kg,,,,,,,,,,,,,,
134GE,Milwaukee M18 FIW2F12-502X FUEL 18V 2 x 5.0Ah Li-Ion RedLithium Brushless Cordless Impact Wrench,Milwaukee,M18 FIW2F12-502X FUEL,298.99,GBP,5.0,1,/p/milwaukee-m18-fiw2f12-502x-fuel-18v-2-x-5-0ah-li-ion-redlithium-brushless-cordless-impact-wrench/134ge,https://media.screwfix.com/is/image/ae235/134GE_P?$autoprodblock$,,Li-Ion,5.0 Ah,RedLithium,"1/2 """,Milwaukee,Brushless,,,,Yes,59 min,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3500 bpm,,,Low Battery Indicator,,1 Year Guarantee,339 Nm,M18 FIW2F12-502X FUEL,0-2400 rpm,2,,,1,1,Cordless,18 V,124 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.8 kg,,,,,,,,,,,,,,,
433FT,Milwaukee M12 IR-201B 12V 1 x 2.0Ah Li-Ion RedLithium  Cordless Sub-Compact Ratchet,Milwaukee,M12 IR-201B,124.99,GBP,4.8,36,/p/milwaukee-m12-ir-201b-12v-1-x-2-0ah-li-ion-redlithium-cordless-sub-compact-ratchet/433ft,https://media.screwfix.com/is/image/ae235/433FT_P?$autoprodblock$,,Li-Ion,2.0 Ah,RedLithium,M16,Milwaukee,Brushed,,,,Yes,40 min,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,,,,,,Low Battery Indicator,Powered,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",47 Nm,M12 IR-201B,0-250 rpm,1,,,1,1,Cordless,12 V,274 mm,Sub-Compact Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Paddle Switch,0.9 kg,,,,,,,,,,,,,,,
955XJ,Makita DWR180Z 18V Li-Ion LXT  Cordless Ratchet Wrench - Bare,Makita,DWR180Z,132.99,GBP,5.0,7,/p/makita-dwr180z-18v-li-ion-lxt-cordless-ratchet-wrench-bare/955xj,https://media.screwfix.com/is/image/ae235/955XJ_P?$autoprodblock$,Ratchet Wrenches,Li-Ion,,LXT,"1/2 """,Makita,Brushed,,,,No,,"1/4""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,,,,Low Battery Indicator,Powered,1 Year Guarantee,47.5 Nm,DWR180Z,0-800 rpm,None,,,1,1,Cordless,18 V,350 mm,Ratchet Wrench,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,,1.2 kg,,,,,,,,,,,,,,
