sku,name,brand,model_no,price,currency,rating,review_count,url,image,Bare Unit Product Type,Battery Chemistry,Battery Power,Battery Technology,Bolt Capacity,Brand,Brushless,Capacity Masonry,Capacity Steel,Capacity Wood,Carry Case/Bag Included,Charge Time,Chuck Capacity,Chuck Type,Condition,Condition Description,Demolition Hammer Impact Energy,Drill Handle Type,Green star,Green star Claim,Impact Rate,Label Info 4: Supplementary Label Info,Label Info 5: Hazardous Chemical Content,Low Battery Indicator,Manual or Powered,Manufacturer Guarantee,Max Torque,Model No,No Load Speed,No. of Batteries Per Pack,No. of SDS Drill Functions,Overload Protection,Pack Size,Pieces in Pack/Case,Power Supply,Power Voltage Supply,Product Length,Product Type,Range Name,Repair Service Action,SDS Drill Product Type,Switch Type,Tool Weight with Battery,Tool Weight without Battery,Vibration Level,Vibration System,Z1 - UK Manufacturer Name,Z2 - UK Manufacturer Postal Address,Z3 - UK Manufacturer Electronic Address,Z4 - EU Manufacturer Name,Z5 - EU Manufacturer Postal Address,Z6 - EU Manufacturer Electronic Address,z1 - UK Manufacturer Name,z2 - UK Manufacturer Postal Address,z3 - UK Manufacturer Electronic Address,z4 - EU Manufacturer Name,z5 - EU Manufacturer Postal Address,z6 - EU Manufacturer Electronic Address
304AJ,Makita TW002G 40V Li-Ion Max XGT Brushless Cordless Impact Wrench - Bare,Makita,TW002G,279.99,GBP,,0,/p/makita-tw002g-40v-li-ion-max-xgt-brushless-cordless-impact-wrench-bare/304aj,https://media.screwfix.com/is/image/ae235/304AJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Max XGT,"1/2 """,Makita,Brushless,,,,Yes,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Rubber Handle,,,2400 bpm,,,,,1 Year Guarantee,2200 Nm,TW002G,1800 m/min,None,,,1,1,Cordless,40 V,213 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,3.9 kg,,,,,,,,,,,,,,
958GE,Milwaukee M12 FHIR38-201B FUEL 12V 1 x 2.0Ah Li-Ion RedLithium Brushless Cordless High Speed Ratchet,Milwaukee,M12 FHIR38-201B FUEL,178.99,GBP,,0,/p/milwaukee-m12-fhir38-201b-fuel-12v-1-x-2-0ah-li-ion-redlithium-brushless-cordless-high-speed-ratchet/958ge,https://media.screwfix.com/is/image/ae235/958GE_P?$autoprodblock$,,Li-Ion,2.0 Ah,RedLithium,"3/8 """,Milwaukee,Brushless,,,,Yes,40 min,"3/8""",Square Drive,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,,,,Low Battery Indicator,Powered,1 Year Guarantee,47 Nm,M12 FHIR38-201B FUEL,0-450 rpm,1,,,1,1,Cordless,12 V,272 mm,High Speed Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,1 kg,,,,,,,,,,,,,,,
768CP,Einhell Professional TP-CW 18/350-C Li BL 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,TP-CW 18/350-C Li BL,139.99,GBP,,0,/p/einhell-professional-tp-cw-18-350-c-li-bl-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/768cp,https://media.screwfix.com/is/image/ae235/768CP_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,M20,Einhell Professional,Brushless,,,,No,,"1/2""",Square Drive,,,,Without Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3300 bpm,,,,,1 Year Guarantee,350 Nm,TP-CW 18/350-C Li BL,2400 m/min,None,,,1,1,Cordless,18 V,132 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.03 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Wirral, Upton, CH49 0AB",,Einhell,,,,,,,,
744XK,Bosch GDS 18V-1000 C Professional 18V 2 x 8.0Ah Li-Ion ProCORE18V Brushless Cordless BITURBO Impact Wrench,Bosch,GDS 18V-1000 C Professional,619.99,GBP,,0,/p/bosch-gds-18v-1000-c-professional-18v-2-x-8-0ah-li-ion-procore18v-brushless-cordless-biturbo-impact-wrench/744xk,https://media.screwfix.com/is/image/ae235/744XK_P?$autoprodblock$,,Li-Ion,8.0 Ah,ProCORE18V,"1/2 """,Bosch,Brushless,,,,Yes,79 min,"1/2""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,2600 bpm,,,Low Battery Indicator,,1 Year Guarantee,1000 Nm,GDS 18V-1000 C Professional,1750 rpm,2,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,,,,3.86 kg,,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
654KG,Skil SD1E3265JA 20V Li-Ion PWRCORE 20 Brushless Cordless Impact Wrench - Bare,Skil,SD1E3265JA,79.99,GBP,5.0,3,/p/skil-sd1e3265ja-20v-li-ion-pwrcore-20-brushless-cordless-impact-wrench-bare/654kg,https://media.screwfix.com/is/image/ae235/654KG_P?$autoprodblock$,Impact Wrenches,Li-Ion,,PWRCORE 20,M14,Skil,Brushless,,,,Yes,,"3/8""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,2100/3400/3950 bpm,,,,,5 Year Manufacturer&#x27;s Guarantee (T&Cs Apply),250 Nm,SD1E3265JA,1500/2250/2850 rpm,None,,,1,1,Cordless,20 V,122 mm,Impact Wrench,,,,,,1.3 kg,,,Chervon Europe Ltd,"34 Bridge Street, Reading, RG1 2LU",www.skil.com,Skil BV,"Rithmeesterpark 22A1, Breda, 4838GZ, Netherlands",www.skil.com,,,,,,
926RL,DEWALT DCF500N-XJ 12V Li-Ion XR Brushless Cordless Sealed Head Ratchet - Bare,DEWALT,DCF500N-XJ,199.99,GBP,,0,/p/dewalt-dcf500n-xj-12v-li-ion-xr-brushless-cordless-sealed-head-ratchet-bare/926rl,https://media.screwfix.com/is/image/ae235/926RL_P?$autoprodblock$,Ratchet Wrenches,Li-Ion,,XR,"1/4-3/8 """,DEWALT,Brushless,,,,No,,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Rubber-Coated Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,,,,Low Battery Indicator,Powered,1 Year Guarantee,75 Nm,DCF500N-XJ,450 rpm,None,,,1,1,Cordless,12 V,305 mm,Sealed Head Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,,0.88 kg,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
615TJ,Einhell Professional IMPAXXO 18/230 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,IMPAXXO 18/230,104.99,GBP,5.0,2,/p/einhell-professional-impaxxo-18-230-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/615tj,https://media.screwfix.com/is/image/ae235/615TJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,"1/4 """,Einhell Professional,Brushless,,,,No,,"1/4""",Hex / Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2900 bpm,No,No,,,1 Year Guarantee,230 Nm,IMPAXXO 18/230,0-2300 m/min,None,,,1,1,Cordless,18 V,216 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.17 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Arrowe Brook Rd, Wirral, CH49 0AB",https://www.einhell.co.uk/services/contact/,Einhell Germany AG,Einhell Germany AG Wiesenweg 22 94405 Landau/Isar,https://www.einhell.com/services/contact/,,,,,,
188XK,DEWALT DCF922P2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Compact Impact Wrench,DEWALT,DCF922P2T-GB,280.0,GBP,5.0,2,/p/dewalt-dcf922p2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-compact-impact-wrench/188xk,https://media.screwfix.com/is/image/ae235/188XK_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M20,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Detent Pin,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3600 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",406 Nm,DCF922P2T-GB,2500 rpm,2,,,1,1,Cordless,18 V,125 mm,Compact Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.7 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
902XK,Bosch GDS18V-1050HC 18V Li-Ion  Brushless Cordless BITURBO Impact Wrench - Bare,Bosch,GDS18V-1050HC,296.44,GBP,,0,/p/bosch-gds18v-1050hc-18v-li-ion-brushless-cordless-biturbo-impact-wrench-bare/902xk,https://media.screwfix.com/is/image/ae235/902XK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,None,"3/4 """,Bosch,Brushless,,,,No,,"3/4""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-2600 bpm,,,,,1 Year Guarantee,1050 Nm,GDS18V-1050HC,0-1750 rpm,None,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,2.9 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
897PV,Bosch GDS 18V-1000 18V Li-Ion ProCORE18V Brushless Cordless BITURBO Impact Wrench - Bare,Bosch,GDS 18V-1000,251.06,GBP,,0,/p/bosch-gds-18v-1000-18v-li-ion-procore18v-brushless-cordless-biturbo-impact-wrench-bare/897pv,https://media.screwfix.com/is/image/ae235/897PV_P?$autoprodblock$,Impact Wrenches,Li-Ion,,ProCORE18V,M24,Bosch,Brushless,,,,No,,"1/2""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,2600 bpm,,,,,1 Year Guarantee,1000 Nm,GDS 18V-1000,1750 rpm,None,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,2.9 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
330CP,Einhell Professional TP-CW 18/260-C Li BL 18V Li-Ion Power X-Change Brushless Cordless Impact Wrench - Bare,Einhell Professional,TP-CW 18/260-C Li BL,119.99,GBP,5.0,1,/p/einhell-professional-tp-cw-18-260-c-li-bl-18v-li-ion-power-x-change-brushless-cordless-impact-wrench-bare/330cp,https://media.screwfix.com/is/image/ae235/330CP_P?$autoprodblock$,Impact Wrenches,Li-Ion,,Power X-Change,M16,Einhell Professional,Brushless,,,,No,,"1/2""",Square Drive,,,,Without Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3800 bpm,,,,,1 Year Guarantee,260 Nm,TP-CW 18/260-C Li BL,2700 m/min,None,,,1,1,Cordless,18 V,119 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,0.95 kg,,,Einhell UK,"Champions Business Park, First Floor Unit 10, Wirral, Upton, CH49 0AB",,Einhell,,,,,,,,
5445J,Makita DTW450Z 18V Li-Ion LXT  Cordless Impact Wrench - Bare,Makita,DTW450Z,198.99,GBP,4.4,5,/p/makita-dtw450z-18v-li-ion-lxt-cordless-impact-wrench-bare/5445j,https://media.screwfix.com/is/image/ae235/5445J_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,M22,Makita,Brushed,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-2200 bpm,,,,,1 Year Guarantee,440 Nm,DTW450Z,0-1600 rpm,None,,,1,1,Cordless,18 V,266 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,2.8 kg,,,,,,,,,,,,,,
7240P,Makita DTW251Z 18V Li-Ion LXT  Cordless Impact Wrench - Bare,Makita,DTW251Z,131.99,GBP,4.5,2,/p/makita-dtw251z-18v-li-ion-lxt-cordless-impact-wrench-bare/7240p,https://media.screwfix.com/is/image/ae235/7240P_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"3-5/8 """,Makita,Brushed,,,,No,,"1/2""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3200 bpm,,,,,1 Year Guarantee,230 Nm,DTW251Z,0-2100 rpm,None,,,1,1,Cordless,18 V,165 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.1 kg,,,,,,,,,,,,,,
196EG,Refurb Erbauer ERI1095IPD 18V Li-Ion EXT Brushless Cordless Impact Wrench - Bare,Erbauer,ERI1095IPD,47.99,GBP,,0,/p/refurb-erbauer-eri1095ipd-18v-li-ion-ext-brushless-cordless-impact-wrench-bare/196eg,https://media.screwfix.com/is/image/ae235/196EG_P?$autoprodblock$,Impact Wrenches,Li-Ion,,EXT,M20,Erbauer,Brushless,,,,No,,"1/2""",Square Drive,Refurbished,"May have been previously used & show signs of cosmetic wear & tear. Original packaging may be missing or replaced. Supplied in working order, function tested & with the accessories detailed in the products description.",,Soft-Grip Handle,Extending product lifecycles,"This second hand tool has been refurbished, repaired and tested. Keeping products in use for longer helps to reduce the overall demand for new products and can also contribute to waste reduction.",0-1000/1700/2900/3700 bpm,,,,,1 Year Guarantee,380 Nm,ERI1095IPD,0-700/1100/1900/2600 rpm,None,,,1,1,Cordless,18 V,130 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1120 g,,,,,,,,,,,,,,
612CX,Milwaukee M12FPTR-202X FUEL INSIDER 12V 2 x 2.0Ah Li-Ion RedLithium Brushless Cordless Pass-Through Ratchet,Milwaukee,M12FPTR-202X FUEL INSIDER,339.99,GBP,,0,/p/milwaukee-m12fptr-202x-fuel-insider-12v-2-x-2-0ah-li-ion-redlithium-brushless-cordless-pass-through-ratchet/612cx,https://media.screwfix.com/is/image/ae235/612CX_P?$autoprodblock$,,Li-Ion,2.0 Ah,RedLithium,"1/4 """,Milwaukee,Brushless,,,,Yes,40 min,"1/4""",Hex Tool Holder,,,,Rubber Overmould Grip,,,,,,Low Battery Indicator,Powered,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",81 Nm,M12FPTR-202X FUEL INSIDER,350 rpm,2,,,1,1,Cordless,12 V,475 mm,Pass-Through Ratchet,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,5.21 kg,,,,,,,,,,,,,,,
231XJ,Makita WR100DZ 12V Li-Ion CXT  Cordless Ratchet Wrench - Bare,Makita,WR100DZ,108.99,GBP,4.7,3,/p/makita-wr100dz-12v-li-ion-cxt-cordless-ratchet-wrench-bare/231xj,https://media.screwfix.com/is/image/ae235/231XJ_P?$autoprodblock$,Ratchet Wrenches,Li-Ion,,CXT,"1/2 """,Makita,Brushed,,,,No,,"1/4""",Hex / Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,,,,Low Battery Indicator,Powered,1 Year Guarantee,47.5 Nm,WR100DZ,0-800 rpm,None,,,1,1,Cordless,12 V,341 mm,Ratchet Wrench,,Should the product require repair please visit a store who will arrange the repair.,,Trigger Switch,,1.0 kg,,,,,,,,,,,,,,
231KU,Bosch GDS 18V-450 HC 18V Li-Ion CoolPack Brushless Cordless Impact Wrench - Bare,Bosch,GDS 18V-450 HC,274.99,GBP,4.0,1,/p/bosch-gds-18v-450-hc-18v-li-ion-coolpack-brushless-cordless-impact-wrench-bare/231ku,https://media.screwfix.com/is/image/ae235/231KU_P?$autoprodblock$,Impact Wrenches,Li-Ion,,CoolPack,"1/2 """,Bosch,Brushless,,,,Yes,,"1/2""",Keyless Chuck,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3300 bpm,,,,,1 Year Guarantee,450 Nm,GDS 18V-450 HC,2300 rpm,None,,,1,1,Cordless,18 V,169 mm,Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,1.6 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
946XJ,Makita DTW180Z 18V Li-Ion LXT Brushless Cordless Impact Wrench  - Bare,Makita,DTW180Z,118.99,GBP,3.0,1,/p/makita-dtw180z-18v-li-ion-lxt-brushless-cordless-impact-wrench-bare/946xj,https://media.screwfix.com/is/image/ae235/946XJ_P?$autoprodblock$,Impact Wrenches,Li-Ion,,LXT,"5/8 """,Makita,Brushless,,,,No,,"3/8""",Square Drive,Brand New,Unused & in original factory/manufacturer condition.,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,0-3600 / 0-2000 bpm,,,,,1 Year Guarantee,180 Nm,DTW180Z,"0-2,400/0-1,300 rpm",None,,,1,1,Cordless,18 V,144 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,,1.2 kg,,,,,,,,,,,,,,
987KN,Skil SD1E3285CA 20V Li-Ion PWRCORE 20 Brushless Cordless Impact Wrench - Bare,Skil,SD1E3285CA,99.99,GBP,,0,/p/skil-sd1e3285ca-20v-li-ion-pwrcore-20-brushless-cordless-impact-wrench-bare/987kn,https://media.screwfix.com/is/image/ae235/987KN_P?$autoprodblock$,Impact Wrenches,Li-Ion,,PWRCORE 20,M24,Skil,Brushless,,,,No,,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,1100/2000/2600 bpm,,,,,5 Year Manufacturer&#x27;s Guarantee (T&Cs Apply),700 Nm,SD1E3285CA,800/1400/1900 rpm,None,,,1,1,Cordless,20 V,202.5 mm,Impact Wrench,,,,,,2.45 kg,,,,,,,,,Chervon Europe Ltd,"34 Bridge Street, Reading, RG1 2LU",www.skil.com,Skil BV,"Rithmeesterpark 22A1, Breda, 4838GZ, Netherlands",www.skil.com
859FU,Bosch GDS 18V-450 PC 18V 2 x 4.0Ah Li-Ion ProCORE18V Brushless Cordless Impact Wrench,Bosch,GDS 18V-450 PC,449.99,GBP,,0,/p/bosch-gds-18v-450-pc-18v-2-x-4-0ah-li-ion-procore18v-brushless-cordless-impact-wrench/859fu,https://media.screwfix.com/is/image/ae235/859FU_P?$autoprodblock$,,Li-Ion,4.0 Ah,ProCORE18V,"1/2 """,Bosch,Brushless,,,,Yes,51 min,"1/2""",Hex / Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,"3,300 bpm",,,Low Battery Indicator,,1 Year Guarantee,450 Nm,GDS 18V-450 PC,2300 rpm,2,,,1,1,Cordless,18 V,169 mm,Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,1.9 kg,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/,,,,,,
760XK,DEWALT DCF891P2T-GB 18V 2 x 5.0Ah Li-Ion XR Brushless Cordless Impact Wrench,DEWALT,DCF891P2T-GB,369.99,GBP,,0,/p/dewalt-dcf891p2t-gb-18v-2-x-5-0ah-li-ion-xr-brushless-cordless-impact-wrench/760xk,https://media.screwfix.com/is/image/ae235/760XK_P?$autoprodblock$,,Li-Ion,5.0 Ah,XR,M24,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,3250 bpm,,,Low Battery Indicator,,"3 Year Manufacturer’s Guarantee (Registration Required, T&Cs Apply)",812 Nm,DCF891P2T-GB,2000 rpm,2,,,1,1,Cordless,18 V,175 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,2.3 kg,,,,,,,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com"
641CK,Bosch GDS 18V-320 HC 18V Li-Ion AMPShare  Cordless Impact Wrench - Bare,Bosch,GDS 18V-320 HC,229.99,GBP,,0,/p/bosch-gds-18v-320-hc-18v-li-ion-ampshare-cordless-impact-wrench-bare/641ck,https://media.screwfix.com/is/image/ae235/641CK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,AMPShare,3/8”,Bosch,Brushed,,,,No,,"3/8""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,"0-3,800 bpm",,,,,1 Year Guarantee,320 Nm,GDS 18V-320 HC,"0-2,800 rpm",None,,,1,1,Cordless,18 V,205 mm,Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,1.2 kg,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",,,,,,,
578CK,Bosch GDS 18V-1600 HC 18V Li-Ion AMPShare Brushless Cordless Impact Wrench - Bare,Bosch,GDS 18V-1600 HC,349.99,GBP,,0,/p/bosch-gds-18v-1600-hc-18v-li-ion-ampshare-brushless-cordless-impact-wrench-bare/578ck,https://media.screwfix.com/is/image/ae235/578CK_P?$autoprodblock$,Impact Wrenches,Li-Ion,,AMPShare,"3/4 """,Bosch,Brushless,,,,No,,"3/4""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,"0-2,350 bpm",,,,,1 Year Guarantee,1600 Nm,GDS 18V-1600 HC,"0-1,750 rpm",None,,,1,1,Cordless,18 V,242 mm,Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,3.2 kg,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",,,,,,,
459FG,Bosch GDS 12V-115 12V Li-Ion CoolPack Brushless Cordless Impact Wrench - Bare,Bosch,GDS 12V-115,163.02,GBP,,0,/p/bosch-gds-12v-115-12v-li-ion-coolpack-brushless-cordless-impact-wrench-bare/459fg,https://media.screwfix.com/is/image/ae235/459FG_P?$autoprodblock$,Impact Wrenches,Li-Ion,,CoolPack,"3/8 """,Bosch,Brushless,,,,No,,"3/8""",Keyless Chuck,Brand New,Unused & in original factory/manufacturer condition.,,Rubber Overmould Grip,Extending product lifecycles,Sharing a battery between tools can make better use of resources.,3100 bpm,,,,,1 Year Guarantee,115 Nm,GDS 12V-115,2600 rpm,None,,,1,1,Cordless,12 V,137 mm,Impact Wrench,Professional,Should the product require repair please visit a store who will arrange the repair.,,,,0.9 kg,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
400XK,Bosch GDS 18V-1000 C Professional 18V 2 x 5.0Ah Li-Ion ProCORE18V Brushless Cordless BITURBO Impact Wrench,Bosch,GDS 18V-1000 C Professional,574.99,GBP,,0,/p/bosch-gds-18v-1000-c-professional-18v-2-x-5-0ah-li-ion-procore18v-brushless-cordless-biturbo-impact-wrench/400xk,https://media.screwfix.com/is/image/ae235/400XK_P?$autoprodblock$,,Li-Ion,5.0 Ah,ProCORE18V,"1/2 """,Bosch,Brushless,,,,Yes,49 min,"1/2""",Square Drive,,,,Soft-Grip Handle,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,2600 bpm,,,Low Battery Indicator,,1 Year Guarantee,1000 Nm,GDS 18V-1000 C Professional,1750 rpm,2,,,1,1,Cordless,18 V,222 mm,BITURBO Impact Wrench,Professional,,,,3.86 kg,,,,,,,,,,Robert Bosch Ltd.,"Broadwater Park, North Orbital Road, Uxbridge, UB9 5HJ",www.bosch.co.uk/contact/,Bosch Power Tools B.V.,"Konijnenberg 60, 4825 BD Breda, Netherlands",www.bosch.com/contact/
358RL,DEWALT DCF921H2T-GB 18V 2 x 5.0Ah Li-Ion PowerStack Brushless Cordless Impact Wrench,DEWALT,DCF921H2T-GB,180.0,GBP,,0,/p/dewalt-dcf921h2t-gb-18v-2-x-5-0ah-li-ion-powerstack-brushless-cordless-impact-wrench/358rl,https://media.screwfix.com/is/image/ae235/358RL_P?$autoprodblock$,,Li-Ion,5.0 Ah,PowerStack,"1/2 """,DEWALT,Brushless,,,,Yes,75 min,"1/2""",Square Drive Hog Ring,,,,Rubber Overmould Grip,Extending product lifecycles,A brushless electronic motor runs more efficiently than brushed types. This can help reduce the tool&#x27;s energy consumption and improve durability.,0-3550 bpm,,,Low Battery Indicator,,1 Year Guarantee,406 Nm,DCF921H2T-GB,0-2500 rpm,2,,,1,1,Cordless,18 V,125 mm,Impact Wrench,,Should the product require repair please visit a store who will arrange the repair.,,,1.6 kg,,,,Stanley Black & Decker,"270 Bath Road, Slough, Berkshire, SL1 4DX",,Stanley Black & Decker,"Black & Decker Strasse, Idstein, 65509, Germany","Support.DEWALT.com, https://www.irwintools.com/submit-request; https://support.blackanddecker.com, support.STANLEYTOOLS.com",,,,,,
